,type,lon,lat
2725,Indian / Middle Eastern restaurant,2.326,48.884
2726,Other world restaurant,2.311,48.885
2727,Traditional French restaurant,2.334,48.886
2728,European restuarant,2.337,48.885
2729,Traditional French restaurant,2.381,48.855
2730,Asian restaurant,2.372,48.854
2731,Central and South American restuarant,2.373,48.854
2732,Asian restaurant,2.374,48.853
2733,European restuarant,2.379,48.879
2734,Traditional French restaurant,2.374,48.851
2735,Traditional French restaurant,2.314,48.843
2736,European restuarant,2.312,48.843
2737,Traditional French restaurant,2.343,48.879
2738,Indian / Middle Eastern restaurant,2.341,48.881
2739,European restuarant,2.34,48.881
2740,Traditional French restaurant,2.34,48.881
2741,European restuarant,2.345,48.882
2742,African restaurant,2.335,48.885
2743,Traditional French restaurant,2.335,48.885
2744,Traditional French restaurant,2.335,48.885
2745,European restuarant,2.334,48.886
2746,African restaurant,2.334,48.884
2747,European restuarant,2.338,48.896
2748,Asian restaurant,2.335,48.89
2749,Central and South American restuarant,2.336,48.89
2750,Traditional French restaurant,2.388,48.858
2751,Traditional French restaurant,2.382,48.857
2752,Traditional French restaurant,2.369,48.865
2753,Traditional French restaurant,2.368,48.866
2754,European restuarant,2.377,48.831
2755,African restaurant,2.366,48.882
2756,Traditional French restaurant,2.368,48.881
2757,Other world restaurant,2.343,48.859
2758,Asian restaurant,2.301,48.839
2759,Asian restaurant,2.299,48.837
2760,Indian / Middle Eastern restaurant,2.301,48.839
2761,Traditional French restaurant,2.303,48.837
2762,European restuarant,2.322,48.844
2763,Asian restaurant,2.322,48.843
2764,Asian restaurant,2.322,48.843
2765,Indian / Middle Eastern restaurant,2.321,48.843
2766,Traditional French restaurant,2.322,48.844
2767,European restuarant,2.319,48.845
2768,European restuarant,2.353,48.879
2769,Asian restaurant,2.35,48.881
2770,European restuarant,2.354,48.879
2771,Other world restaurant,2.341,48.884
2772,Traditional French restaurant,2.341,48.885
2773,Traditional French restaurant,2.34,48.884
2774,Traditional French restaurant,2.341,48.885
2775,Traditional French restaurant,2.34,48.887
2776,Traditional French restaurant,2.341,48.887
2777,Traditional French restaurant,2.34,48.887
2778,Traditional French restaurant,2.341,48.887
2779,Traditional French restaurant,2.341,48.887
2780,Traditional French restaurant,2.341,48.885
2781,Traditional French restaurant,2.343,48.884
2782,Asian restaurant,2.326,48.893
2783,African restaurant,2.327,48.893
2784,African restaurant,2.324,48.889
2785,Traditional French restaurant,2.367,48.865
2786,Asian restaurant,2.335,48.863
2787,Traditional French restaurant,2.348,48.865
2788,European restuarant,2.32,48.843
2789,Asian restaurant,2.315,48.844
2790,Asian restaurant,2.317,48.844
2791,Traditional French restaurant,2.317,48.844
2792,Indian / Middle Eastern restaurant,2.302,48.828
2793,Traditional French restaurant,2.285,48.836
2794,Asian restaurant,2.284,48.834
2795,Maghrebian restaurant,2.288,48.834
2796,European restuarant,2.287,48.833
2797,Traditional French restaurant,2.292,48.836
2798,Indian / Middle Eastern restaurant,2.361,48.883
2799,African restaurant,2.364,48.881
2800,Asian restaurant,2.365,48.881
2801,Indian / Middle Eastern restaurant,2.358,48.878
2802,Traditional French restaurant,2.326,48.889
2803,Indian / Middle Eastern restaurant,2.326,48.886
2804,Asian restaurant,2.329,48.885
2805,Asian restaurant,2.329,48.885
2806,Traditional French restaurant,2.329,48.891
2807,Asian restaurant,2.328,48.894
2808,Maghrebian restaurant,2.347,48.896
2809,Asian restaurant,2.381,48.859
2810,European restuarant,2.381,48.86
2811,European restuarant,2.383,48.859
2812,European restuarant,2.371,48.854
2813,Central and South American restuarant,2.376,48.855
2814,Traditional French restaurant,2.374,48.855
2815,Traditional French restaurant,2.343,48.848
2816,Asian restaurant,2.377,48.871
2817,Indian / Middle Eastern restaurant,2.376,48.867
2818,Asian restaurant,2.351,48.865
2819,Asian restaurant,2.351,48.865
2820,Traditional French restaurant,2.333,48.868
2821,Traditional French restaurant,2.361,48.858
2822,Indian / Middle Eastern restaurant,2.275,48.858
2823,Asian restaurant,2.275,48.857
2824,Traditional French restaurant,2.279,48.857
2825,Traditional French restaurant,2.28,48.856
2826,Asian restaurant,2.269,48.855
2827,European restuarant,2.267,48.856
2828,Asian restaurant,2.349,48.877
2829,Traditional French restaurant,2.372,48.824
2830,Asian restaurant,2.362,48.825
2831,Asian restaurant,2.362,48.824
2832,Asian restaurant,2.361,48.825
2833,Asian restaurant,2.361,48.826
2834,Asian restaurant,2.361,48.826
2835,Asian restaurant,2.361,48.832
2836,Traditional French restaurant,2.348,48.888
2837,African restaurant,2.351,48.89
2838,African restaurant,2.351,48.89
2839,Asian restaurant,2.372,48.855
2840,European restuarant,2.382,48.851
2841,Caribbean restaurant,2.382,48.851
2842,European restuarant,2.328,48.828
2843,Indian / Middle Eastern restaurant,2.326,48.834
2844,Traditional French restaurant,2.325,48.834
2845,European restuarant,2.348,48.866
2846,Central and South American restuarant,2.347,48.86
2847,European restuarant,2.336,48.865
2848,Traditional French restaurant,2.332,48.868
2849,Asian restaurant,2.393,48.853
2850,Asian restaurant,2.286,48.867
2851,Caribbean restaurant,2.273,48.863
2852,Asian restaurant,2.282,48.862
2853,Asian restaurant,2.288,48.869
2854,Asian restaurant,2.366,48.823
2855,Asian restaurant,2.365,48.824
2856,Traditional French restaurant,2.365,48.827
2857,Asian restaurant,2.363,48.823
2858,Asian restaurant,2.362,48.824
2859,Traditional French restaurant,2.372,48.828
2860,European restuarant,2.374,48.831
2861,Traditional French restaurant,2.371,48.83
2862,Asian restaurant,2.304,48.869
2863,Indian / Middle Eastern restaurant,2.361,48.884
2864,Traditional French restaurant,2.354,48.828
2865,Traditional French restaurant,2.284,48.848
2866,Traditional French restaurant,2.325,48.842
2867,Asian restaurant,2.323,48.841
2868,Traditional French restaurant,2.324,48.841
2869,Asian restaurant,2.324,48.841
2870,Indian / Middle Eastern restaurant,2.323,48.839
2871,Asian restaurant,2.324,48.84
2872,Asian restaurant,2.324,48.84
2873,Other world restaurant,2.324,48.84
2874,Indian / Middle Eastern restaurant,2.324,48.836
2875,Caribbean restaurant,2.328,48.835
2876,Asian restaurant,2.324,48.842
2877,Traditional French restaurant,2.356,48.861
2878,Traditional French restaurant,2.342,48.861
2879,Traditional French restaurant,2.33,48.869
2880,European restuarant,2.287,48.875
2881,Traditional French restaurant,2.287,48.876
2882,European restuarant,2.287,48.876
2883,Traditional French restaurant,2.293,48.874
2884,Traditional French restaurant,2.292,48.872
2885,Traditional French restaurant,2.293,48.869
2886,Traditional French restaurant,2.294,48.869
2887,Traditional French restaurant,2.292,48.868
2888,Asian restaurant,2.274,48.866
2889,Traditional French restaurant,2.283,48.875
2890,Indian / Middle Eastern restaurant,2.285,48.871
2891,European restuarant,2.283,48.87
2892,Asian restaurant,2.372,48.828
2893,Asian restaurant,2.374,48.823
2894,Asian restaurant,2.372,48.826
2895,European restuarant,2.298,48.843
2896,Asian restaurant,2.3,48.843
2897,Central and South American restuarant,2.292,48.832
2898,Traditional French restaurant,2.303,48.847
2899,Traditional French restaurant,2.378,48.891
2900,Asian restaurant,2.401,48.851
2901,Traditional French restaurant,2.325,48.842
2902,Traditional French restaurant,2.325,48.842
2903,Traditional French restaurant,2.325,48.842
2904,Traditional French restaurant,2.32,48.825
2905,Asian restaurant,2.325,48.832
2906,European restuarant,2.329,48.831
2907,Asian restaurant,2.329,48.831
2908,Asian restaurant,2.33,48.832
2909,Asian restaurant,2.33,48.833
2910,Traditional French restaurant,2.328,48.833
2911,Traditional French restaurant,2.328,48.834
2912,African restaurant,2.372,48.875
2913,European restuarant,2.359,48.88
2914,Asian restaurant,2.282,48.869
2915,Traditional French restaurant,2.284,48.868
2916,European restuarant,2.286,48.867
2917,Traditional French restaurant,2.287,48.866
2918,Traditional French restaurant,2.288,48.867
2919,Indian / Middle Eastern restaurant,2.353,48.846
2920,Maghrebian restaurant,2.352,48.846
2921,Asian restaurant,2.289,48.848
2922,European restuarant,2.288,48.849
2923,European restuarant,2.286,48.847
2924,Asian restaurant,2.289,48.845
2925,Indian / Middle Eastern restaurant,2.289,48.845
2926,Asian restaurant,2.293,48.844
2927,European restuarant,2.294,48.844
2928,Indian / Middle Eastern restaurant,2.294,48.844
2929,Asian restaurant,2.295,48.844
2930,Asian restaurant,2.289,48.869
2931,European restuarant,2.289,48.871
2932,Asian restaurant,2.287,48.875
2933,Traditional French restaurant,2.293,48.874
2934,Asian restaurant,2.29,48.866
2935,Asian restaurant,2.289,48.865
2936,Indian / Middle Eastern restaurant,2.29,48.865
2937,Traditional French restaurant,2.29,48.865
2938,Asian restaurant,2.324,48.824
2939,African restaurant,2.325,48.824
2940,Asian restaurant,2.341,48.831
2941,Asian restaurant,2.341,48.831
2942,Traditional French restaurant,2.341,48.821
2943,Traditional French restaurant,2.39,48.842
2944,Asian restaurant,2.362,48.825
2945,Asian restaurant,2.318,48.836
2946,African restaurant,2.307,48.842
2947,Traditional French restaurant,2.364,48.843
2948,Asian restaurant,2.363,48.843
2949,Other world restaurant,2.353,48.841
2950,Maghrebian restaurant,2.354,48.841
2951,Central and South American restuarant,2.354,48.844
2952,Maghrebian restaurant,2.351,48.839
2953,Asian restaurant,2.351,48.839
2954,Traditional French restaurant,2.349,48.843
2955,Traditional French restaurant,2.345,48.845
2956,Asian restaurant,2.343,48.846
2957,Indian / Middle Eastern restaurant,2.292,48.843
2958,Indian / Middle Eastern restaurant,2.289,48.845
2959,Indian / Middle Eastern restaurant,2.278,48.843
2960,Asian restaurant,2.261,48.848
2961,Indian / Middle Eastern restaurant,2.299,48.864
2962,Asian restaurant,2.296,48.876
2963,Traditional French restaurant,2.296,48.877
2964,Asian restaurant,2.296,48.877
2965,Asian restaurant,2.296,48.877
2966,European restuarant,2.296,48.877
2967,Asian restaurant,2.297,48.876
2968,Traditional French restaurant,2.294,48.878
2969,European restuarant,2.294,48.878
2970,Asian restaurant,2.293,48.877
2971,Traditional French restaurant,2.293,48.877
2972,Traditional French restaurant,2.294,48.876
2973,Traditional French restaurant,2.284,48.875
2974,Asian restaurant,2.33,48.831
2975,European restuarant,2.33,48.829
2976,Asian restaurant,2.401,48.845
2977,European restuarant,2.385,48.85
2978,Indian / Middle Eastern restaurant,2.386,48.85
2979,Indian / Middle Eastern restaurant,2.386,48.85
2980,Traditional French restaurant,2.386,48.848
2981,Traditional French restaurant,2.315,48.84
2982,European restuarant,2.286,48.88
2983,Traditional French restaurant,2.397,48.865
2984,Asian restaurant,2.396,48.866
2985,Maghrebian restaurant,2.395,48.866
2986,Asian restaurant,2.39,48.868
2987,European restuarant,2.343,48.845
2988,European restuarant,2.35,48.84
2989,European restuarant,2.349,48.844
2990,Traditional French restaurant,2.349,48.843
2991,Traditional French restaurant,2.349,48.838
2992,European restuarant,2.348,48.838
2993,Traditional French restaurant,2.338,48.852
2994,Traditional French restaurant,2.269,48.854
2995,Indian / Middle Eastern restaurant,2.262,48.839
2996,Traditional French restaurant,2.283,48.859
2997,European restuarant,2.283,48.876
2998,Other world restaurant,2.284,48.87
2999,Indian / Middle Eastern restaurant,2.282,48.869
3000,Asian restaurant,2.282,48.868
3001,European restuarant,2.285,48.869
3002,European restuarant,2.286,48.866
3003,Traditional French restaurant,2.286,48.866
3004,European restuarant,2.283,48.866
3005,Asian restaurant,2.288,48.865
3006,European restuarant,2.288,48.866
3007,Maghrebian restaurant,2.294,48.885
3008,Traditional French restaurant,2.399,48.843
3009,Asian restaurant,2.399,48.841
3010,Indian / Middle Eastern restaurant,2.4,48.84
3011,Indian / Middle Eastern restaurant,2.399,48.84
3012,European restuarant,2.399,48.836
3013,Traditional French restaurant,2.399,48.835
3014,Maghrebian restaurant,2.401,48.835
3015,Indian / Middle Eastern restaurant,2.401,48.834
3016,Asian restaurant,2.385,48.867
3017,Traditional French restaurant,2.316,48.885
3018,Traditional French restaurant,2.317,48.89
3019,Asian restaurant,2.334,48.852
3020,Traditional French restaurant,2.334,48.852
3021,European restuarant,2.335,48.852
3022,Asian restaurant,2.338,48.843
3023,Traditional French restaurant,2.405,48.86
3024,European restuarant,2.406,48.859
3025,Traditional French restaurant,2.296,48.882
3026,Asian restaurant,2.294,48.88
3027,Traditional French restaurant,2.294,48.88
3028,Traditional French restaurant,2.295,48.881
3029,European restuarant,2.31,48.882
3030,Traditional French restaurant,2.307,48.883
3031,Indian / Middle Eastern restaurant,2.392,48.836
3032,Asian restaurant,2.393,48.837
3033,Asian restaurant,2.401,48.845
3034,Asian restaurant,2.41,48.843
3035,European restuarant,2.406,48.847
3036,Asian restaurant,2.406,48.835
3037,Traditional French restaurant,2.337,48.884
3038,Traditional French restaurant,2.341,48.885
3039,European restuarant,2.342,48.885
3040,Maghrebian restaurant,2.363,48.892
3041,Traditional French restaurant,2.34,48.894
3042,Asian restaurant,2.341,48.846
3043,Other world restaurant,2.343,48.845
3044,Traditional French restaurant,2.35,48.843
3045,Traditional French restaurant,2.35,48.842
3046,Indian / Middle Eastern restaurant,2.349,48.843
3047,European restuarant,2.347,48.847
3048,Traditional French restaurant,2.329,48.871
3049,European restuarant,2.38,48.866
3050,European restuarant,2.298,48.882
3051,Asian restaurant,2.3,48.882
3052,Central and South American restuarant,2.295,48.885
3053,European restuarant,2.297,48.885
3054,Traditional French restaurant,2.297,48.885
3055,Asian restaurant,2.295,48.885
3056,European restuarant,2.304,48.889
3057,European restuarant,2.306,48.888
3058,Traditional French restaurant,2.307,48.888
3059,Asian restaurant,2.322,48.889
3060,European restuarant,2.32,48.889
3061,Asian restaurant,2.404,48.837
3062,Asian restaurant,2.392,48.84
3063,Traditional French restaurant,2.385,48.849
3064,Asian restaurant,2.386,48.848
3065,European restuarant,2.385,48.847
3066,Traditional French restaurant,2.385,48.843
3067,Maghrebian restaurant,2.396,48.857
3068,Traditional French restaurant,2.401,48.858
3069,European restuarant,2.348,48.847
3070,Asian restaurant,2.347,48.848
3071,Asian restaurant,2.348,48.848
3072,Asian restaurant,2.348,48.848
3073,Traditional French restaurant,2.348,48.848
3074,Asian restaurant,2.347,48.848
3075,Traditional French restaurant,2.346,48.848
3076,Asian restaurant,2.348,48.851
3077,Asian restaurant,2.348,48.851
3078,Asian restaurant,2.347,48.851
3079,Central and South American restuarant,2.346,48.851
3080,European restuarant,2.347,48.852
3081,Traditional French restaurant,2.345,48.853
3082,Traditional French restaurant,2.345,48.853
3083,Traditional French restaurant,2.346,48.853
3084,Asian restaurant,2.377,48.871
3085,Indian / Middle Eastern restaurant,2.361,48.884
3086,Traditional French restaurant,2.385,48.851
3087,Asian restaurant,2.383,48.845
3088,European restuarant,2.38,48.84
3089,Asian restaurant,2.329,48.897
3090,Traditional French restaurant,2.391,48.844
3091,Asian restaurant,2.383,48.845
3092,Traditional French restaurant,2.384,48.847
3093,Traditional French restaurant,2.383,48.845
3094,European restuarant,2.383,48.846
3095,Other world restaurant,2.378,48.849
3096,Maghrebian restaurant,2.378,48.847
3097,Indian / Middle Eastern restaurant,2.396,48.854
3098,Asian restaurant,2.399,48.852
3099,Traditional French restaurant,2.329,48.871
3100,Traditional French restaurant,2.329,48.871
3101,Maghrebian restaurant,2.345,48.853
3102,European restuarant,2.345,48.853
3103,Traditional French restaurant,2.345,48.851
3104,Traditional French restaurant,2.344,48.852
3105,Traditional French restaurant,2.345,48.852
3106,Traditional French restaurant,2.343,48.854
3107,European restuarant,2.343,48.854
3108,European restuarant,2.342,48.855
3109,European restuarant,2.342,48.855
3110,European restuarant,2.339,48.855
3111,European restuarant,2.34,48.855
3112,Central and South American restuarant,2.34,48.856
3113,Traditional French restaurant,2.341,48.855
3114,Traditional French restaurant,2.34,48.856
3115,Central and South American restuarant,2.34,48.855
3116,European restuarant,2.339,48.854
3117,Traditional French restaurant,2.337,48.854
3118,Asian restaurant,2.339,48.854
3119,Traditional French restaurant,2.376,48.846
3120,Traditional French restaurant,2.386,48.834
3121,Traditional French restaurant,2.364,48.874
3122,European restuarant,2.356,48.86
3123,Traditional French restaurant,2.355,48.858
3124,Traditional French restaurant,2.346,48.84
3125,European restuarant,2.345,48.853
3126,European restuarant,2.35,48.851
3127,Traditional French restaurant,2.307,48.877
3128,Traditional French restaurant,2.389,48.858
3129,Indian / Middle Eastern restaurant,2.36,48.871
3130,Asian restaurant,2.362,48.891
3131,Traditional French restaurant,2.381,48.854
3132,Traditional French restaurant,2.389,48.874
3133,European restuarant,2.383,48.843
3134,Maghrebian restaurant,2.388,48.84
3135,European restuarant,2.387,48.834
3136,Traditional French restaurant,2.386,48.834
3137,Asian restaurant,2.386,48.836
3138,Traditional French restaurant,2.386,48.836
3139,European restuarant,2.383,48.837
3140,European restuarant,2.382,48.839
3141,European restuarant,2.381,48.84
3142,African restaurant,2.356,48.877
3143,Asian restaurant,2.365,48.878
3144,Traditional French restaurant,2.369,48.863
3145,Indian / Middle Eastern restaurant,2.36,48.883
3146,Traditional French restaurant,2.365,48.868
3147,European restuarant,2.342,48.853
3148,Asian restaurant,2.342,48.853
3149,Traditional French restaurant,2.343,48.853
3150,Asian restaurant,2.343,48.853
3151,Asian restaurant,2.341,48.849
3152,Asian restaurant,2.341,48.848
3153,European restuarant,2.341,48.848
3154,Maghrebian restaurant,2.34,48.849
3155,Asian restaurant,2.34,48.85
3156,European restuarant,2.332,48.85
3157,Traditional French restaurant,2.345,48.866
3158,Central and South American restuarant,2.324,48.889
3159,European restuarant,2.296,48.876
3160,Traditional French restaurant,2.358,48.857
3161,European restuarant,2.379,48.845
3162,Asian restaurant,2.368,48.835
3163,European restuarant,2.371,48.833
3164,Asian restaurant,2.358,48.828
3165,Asian restaurant,2.357,48.83
3166,Asian restaurant,2.36,48.826
3167,Asian restaurant,2.359,48.826
3168,Asian restaurant,2.358,48.826
3169,Asian restaurant,2.362,48.823
3170,Asian restaurant,2.361,48.825
3171,Asian restaurant,2.364,48.821
3172,Asian restaurant,2.364,48.821
3173,Asian restaurant,2.364,48.821
3174,Traditional French restaurant,2.388,48.835
3175,Central and South American restuarant,2.335,48.841
3176,Traditional French restaurant,2.331,48.842
3177,Traditional French restaurant,2.33,48.842
3178,European restuarant,2.33,48.842
3179,Traditional French restaurant,2.33,48.844
3180,Asian restaurant,2.323,48.844
3181,Traditional French restaurant,2.365,48.868
3182,Traditional French restaurant,2.3,48.874
3183,Indian / Middle Eastern restaurant,2.303,48.872
3184,Asian restaurant,2.304,48.872
3185,Asian restaurant,2.304,48.87
3186,Asian restaurant,2.321,48.875
3187,Asian restaurant,2.362,48.863
3188,Asian restaurant,2.283,48.846
3189,Indian / Middle Eastern restaurant,2.283,48.847
3190,Asian restaurant,2.28,48.836
3191,Asian restaurant,2.283,48.846
3192,Traditional French restaurant,2.384,48.896
3193,Other world restaurant,2.378,48.884
3194,Asian restaurant,2.358,48.822
3195,Asian restaurant,2.356,48.827
3196,Central and South American restuarant,2.354,48.828
3197,Traditional French restaurant,2.319,48.873
3198,Asian restaurant,2.309,48.872
3199,Traditional French restaurant,2.337,48.873
3200,Asian restaurant,2.341,48.876
3201,Asian restaurant,2.408,48.856
3202,Asian restaurant,2.402,48.859
3203,European restuarant,2.41,48.857
3204,Asian restaurant,2.368,48.866
3205,Traditional French restaurant,2.367,48.866
3206,Traditional French restaurant,2.365,48.868
3207,Traditional French restaurant,2.366,48.868
3208,European restuarant,2.365,48.868
3209,European restuarant,2.369,48.864
3210,Maghrebian restaurant,2.382,48.868
3211,Traditional French restaurant,2.372,48.864
3212,European restuarant,2.277,48.85
3213,Asian restaurant,2.265,48.84
3214,European restuarant,2.26,48.837
3215,Asian restaurant,2.265,48.841
3216,Traditional French restaurant,2.326,48.842
3217,European restuarant,2.38,48.851
3218,Asian restaurant,2.331,48.885
3219,Traditional French restaurant,2.35,48.828
3220,Traditional French restaurant,2.349,48.826
3221,European restuarant,2.347,48.826
3222,European restuarant,2.351,48.829
3223,Traditional French restaurant,2.35,48.828
3224,Traditional French restaurant,2.353,48.829
3225,European restuarant,2.354,48.83
3226,Asian restaurant,2.36,48.826
3227,Asian restaurant,2.361,48.825
3228,European restuarant,2.343,48.831
3229,Maghrebian restaurant,2.351,48.829
3230,Traditional French restaurant,2.349,48.831
3231,European restuarant,2.349,48.831
3232,Asian restaurant,2.354,48.833
3233,European restuarant,2.355,48.832
3234,Asian restaurant,2.353,48.834
3235,European restuarant,2.353,48.834
3236,Traditional French restaurant,2.405,48.86
3237,European restuarant,2.405,48.86
3238,Asian restaurant,2.406,48.85
3239,European restuarant,2.412,48.853
3240,European restuarant,2.361,48.853
3241,European restuarant,2.373,48.864
3242,African restaurant,2.378,48.865
3243,Central and South American restuarant,2.382,48.866
3244,Traditional French restaurant,2.378,48.862
3245,Asian restaurant,2.325,48.842
3246,European restuarant,2.323,48.841
3247,Traditional French restaurant,2.324,48.841
3248,European restuarant,2.322,48.84
3249,Traditional French restaurant,2.323,48.841
3250,Asian restaurant,2.323,48.839
3251,Traditional French restaurant,2.331,48.834
3252,Maghrebian restaurant,2.324,48.842
3253,Maghrebian restaurant,2.361,48.891
3254,European restuarant,2.334,48.884
3255,African restaurant,2.338,48.894
3256,Asian restaurant,2.376,48.874
3257,European restuarant,2.298,48.881
3258,Traditional French restaurant,2.297,48.879
3259,Traditional French restaurant,2.296,48.88
3260,Asian restaurant,2.326,48.843
3261,Asian restaurant,2.326,48.842
3262,Traditional French restaurant,2.325,48.842
3263,Traditional French restaurant,2.325,48.842
3264,Asian restaurant,2.369,48.826
3265,Asian restaurant,2.361,48.825
3266,Asian restaurant,2.362,48.825
3267,Asian restaurant,2.361,48.826
3268,Asian restaurant,2.361,48.826
3269,Asian restaurant,2.362,48.825
3270,Asian restaurant,2.362,48.826
3271,Asian restaurant,2.366,48.823
3272,Asian restaurant,2.366,48.823
3273,Asian restaurant,2.366,48.823
3274,Asian restaurant,2.366,48.823
3275,Asian restaurant,2.401,48.851
3276,European restuarant,2.404,48.852
3277,European restuarant,2.404,48.856
3278,Traditional French restaurant,2.378,48.862
3279,European restuarant,2.378,48.861
3280,Asian restaurant,2.368,48.859
3281,European restuarant,2.282,48.869
3282,European restuarant,2.284,48.866
3283,Asian restaurant,2.29,48.869
3284,Asian restaurant,2.286,48.865
3285,Asian restaurant,2.289,48.869
3286,European restuarant,2.289,48.869
3287,Central and South American restuarant,2.304,48.882
3288,Traditional French restaurant,2.365,48.827
3289,Asian restaurant,2.365,48.827
3290,Asian restaurant,2.362,48.824
3291,Asian restaurant,2.363,48.822
3292,Asian restaurant,2.365,48.821
3293,Asian restaurant,2.361,48.834
3294,Asian restaurant,2.373,48.828
3295,Traditional French restaurant,2.374,48.831
3296,European restuarant,2.372,48.83
3297,European restuarant,2.369,48.831
3298,Traditional French restaurant,2.352,48.85
3299,Central and South American restuarant,2.349,48.849
3300,Traditional French restaurant,2.349,48.849
3301,Traditional French restaurant,2.349,48.845
3302,Asian restaurant,2.35,48.845
3303,European restuarant,2.349,48.845
3304,European restuarant,2.322,48.845
3305,European restuarant,2.323,48.844
3306,Asian restaurant,2.327,48.844
3307,Traditional French restaurant,2.369,48.868
3308,Traditional French restaurant,2.369,48.868
3309,European restuarant,2.372,48.866
3310,Traditional French restaurant,2.372,48.866
3311,Asian restaurant,2.377,48.871
3312,European restuarant,2.286,48.869
3313,Traditional French restaurant,2.293,48.873
3314,Other world restaurant,2.29,48.865
3315,Traditional French restaurant,2.345,48.859
3316,Asian restaurant,2.306,48.861
3317,Asian restaurant,2.328,48.876
3318,Traditional French restaurant,2.347,48.877
3319,European restuarant,2.372,48.828
3320,Asian restaurant,2.372,48.825
3321,Asian restaurant,2.347,48.833
3322,Traditional French restaurant,2.347,48.836
3323,Asian restaurant,2.384,48.855
3324,Asian restaurant,2.38,48.857
3325,Maghrebian restaurant,2.38,48.857
3326,Traditional French restaurant,2.379,48.857
3327,Traditional French restaurant,2.38,48.854
3328,European restuarant,2.378,48.857
3329,Asian restaurant,2.377,48.872
3330,Asian restaurant,2.377,48.871
3331,Asian restaurant,2.333,48.866
3332,Traditional French restaurant,2.333,48.868
3333,European restuarant,2.275,48.861
3334,Asian restaurant,2.282,48.867
3335,Traditional French restaurant,2.281,48.867
3336,European restuarant,2.28,48.867
3337,Asian restaurant,2.394,48.851
3338,Traditional French restaurant,2.445,48.821
3339,European restuarant,2.381,48.828
3340,Traditional French restaurant,2.379,48.829
3341,Traditional French restaurant,2.309,48.839
3342,Traditional French restaurant,2.331,48.841
3343,European restuarant,2.328,48.842
3344,Traditional French restaurant,2.326,48.843
3345,Traditional French restaurant,2.369,48.859
3346,Asian restaurant,2.374,48.862
3347,Other world restaurant,2.371,48.856
3348,Maghrebian restaurant,2.375,48.855
3349,Central and South American restuarant,2.375,48.854
3350,Traditional French restaurant,2.373,48.854
3351,Asian restaurant,2.373,48.853
3352,Traditional French restaurant,2.325,48.868
3353,Traditional French restaurant,2.331,48.87
3354,Traditional French restaurant,2.33,48.869
3355,European restuarant,2.332,48.869
3356,Asian restaurant,2.278,48.857
3357,Traditional French restaurant,2.28,48.856
3358,European restuarant,2.279,48.857
3359,Indian / Middle Eastern restaurant,2.278,48.856
3360,Traditional French restaurant,2.3,48.885
3361,Asian restaurant,2.371,48.854
3362,Indian / Middle Eastern restaurant,2.38,48.862
3363,Traditional French restaurant,2.38,48.862
3364,African restaurant,2.38,48.861
3365,Traditional French restaurant,2.378,48.862
3366,European restuarant,2.382,48.859
3367,European restuarant,2.383,48.858
3368,Indian / Middle Eastern restaurant,2.381,48.861
3369,European restuarant,2.386,48.858
3370,Asian restaurant,2.333,48.868
3371,Asian restaurant,2.334,48.87
3372,Asian restaurant,2.334,48.87
3373,Indian / Middle Eastern restaurant,2.335,48.87
3374,Traditional French restaurant,2.334,48.869
3375,Indian / Middle Eastern restaurant,2.335,48.868
3376,Traditional French restaurant,2.335,48.869
3377,Asian restaurant,2.335,48.867
3378,Traditional French restaurant,2.335,48.867
3379,Asian restaurant,2.336,48.867
3380,Traditional French restaurant,2.343,48.856
3381,European restuarant,2.341,48.859
3382,Asian restaurant,2.345,48.859
3383,European restuarant,2.287,48.848
3384,Caribbean restaurant,2.378,48.845
3385,European restuarant,2.298,48.887
3386,Asian restaurant,2.368,48.861
3387,Asian restaurant,2.371,48.862
3388,European restuarant,2.371,48.863
3389,Asian restaurant,2.367,48.862
3390,Asian restaurant,2.367,48.863
3391,Traditional French restaurant,2.368,48.861
3392,Traditional French restaurant,2.368,48.86
3393,Indian / Middle Eastern restaurant,2.369,48.87
3394,Traditional French restaurant,2.375,48.868
3395,Asian restaurant,2.376,48.867
3396,Indian / Middle Eastern restaurant,2.385,48.857
3397,Caribbean restaurant,2.384,48.857
3398,Traditional French restaurant,2.382,48.857
3399,European restuarant,2.383,48.856
3400,Traditional French restaurant,2.372,48.854
3401,Traditional French restaurant,2.374,48.853
3402,Asian restaurant,2.371,48.854
3403,Traditional French restaurant,2.376,48.855
3404,European restuarant,2.374,48.856
3405,European restuarant,2.378,48.851
3406,European restuarant,2.378,48.852
3407,European restuarant,2.381,48.85
3408,Traditional French restaurant,2.349,48.86
3409,Asian restaurant,2.347,48.86
3410,European restuarant,2.347,48.86
3411,Traditional French restaurant,2.344,48.862
3412,Asian restaurant,2.343,48.86
3413,Traditional French restaurant,2.344,48.862
3414,Traditional French restaurant,2.35,48.845
3415,Asian restaurant,2.355,48.844
3416,Maghrebian restaurant,2.355,48.849
3417,Traditional French restaurant,2.355,48.85
3418,European restuarant,2.289,48.851
3419,European restuarant,2.374,48.892
3420,Traditional French restaurant,2.291,48.885
3421,European restuarant,2.345,48.874
3422,Traditional French restaurant,2.26,48.848
3423,Traditional French restaurant,2.293,48.865
3424,Traditional French restaurant,2.262,48.867
3425,Traditional French restaurant,2.267,48.869
3426,Indian / Middle Eastern restaurant,2.376,48.867
3427,African restaurant,2.375,48.867
3428,African restaurant,2.375,48.868
