,type,lon,lat
946,Asian restaurant,2.326,48.892
947,Asian restaurant,2.334,48.853
948,Asian restaurant,2.334,48.853
949,Traditional French restaurant,2.333,48.854
950,Traditional French restaurant,2.323,48.852
951,Asian restaurant,2.332,48.883
952,Traditional French restaurant,2.335,48.88
953,European restuarant,2.332,48.881
954,Traditional French restaurant,2.335,48.881
955,Asian restaurant,2.326,48.843
956,Traditional French restaurant,2.326,48.842
957,Traditional French restaurant,2.326,48.842
958,Traditional French restaurant,2.326,48.842
959,Traditional French restaurant,2.325,48.842
960,European restuarant,2.325,48.842
961,Asian restaurant,2.322,48.841
962,Traditional French restaurant,2.322,48.841
963,European restuarant,2.295,48.878
964,European restuarant,2.294,48.875
965,Asian restaurant,2.299,48.88
966,Traditional French restaurant,2.299,48.879
967,Other world restaurant,2.299,48.879
968,Indian / Middle Eastern restaurant,2.299,48.88
969,European restuarant,2.371,48.862
970,Asian restaurant,2.371,48.863
971,Asian restaurant,2.367,48.863
972,European restuarant,2.368,48.861
973,Other world restaurant,2.369,48.87
974,Asian restaurant,2.377,48.871
975,Asian restaurant,2.377,48.871
976,European restuarant,2.325,48.893
977,Asian restaurant,2.323,48.892
978,European restuarant,2.323,48.893
979,European restuarant,2.323,48.893
980,African restaurant,2.322,48.892
981,African restaurant,2.321,48.892
982,Traditional French restaurant,2.319,48.891
983,African restaurant,2.321,48.891
984,European restuarant,2.319,48.861
985,European restuarant,2.323,48.839
986,Other world restaurant,2.324,48.836
987,Asian restaurant,2.324,48.836
988,European restuarant,2.326,48.835
989,Traditional French restaurant,2.327,48.836
990,Asian restaurant,2.328,48.835
991,Traditional French restaurant,2.329,48.834
992,Indian / Middle Eastern restaurant,2.324,48.843
993,Traditional French restaurant,2.302,48.882
994,Indian / Middle Eastern restaurant,2.302,48.881
995,Asian restaurant,2.292,48.877
996,Indian / Middle Eastern restaurant,2.291,48.879
997,European restuarant,2.285,48.877
998,European restuarant,2.29,48.88
999,Asian restaurant,2.291,48.879
1000,Asian restaurant,2.377,48.87
1001,Asian restaurant,2.377,48.87
1002,Indian / Middle Eastern restaurant,2.375,48.868
1003,Traditional French restaurant,2.378,48.868
1004,European restuarant,2.375,48.868
1005,Traditional French restaurant,2.374,48.869
1006,African restaurant,2.374,48.868
1007,Traditional French restaurant,2.324,48.89
1008,Traditional French restaurant,2.335,48.892
1009,Traditional French restaurant,2.331,48.853
1010,European restuarant,2.331,48.853
1011,Traditional French restaurant,2.332,48.853
1012,Asian restaurant,2.332,48.853
1013,European restuarant,2.329,48.831
1014,Asian restaurant,2.329,48.832
1015,Asian restaurant,2.33,48.833
1016,Indian / Middle Eastern restaurant,2.324,48.835
1017,Indian / Middle Eastern restaurant,2.322,48.834
1018,Traditional French restaurant,2.324,48.833
1019,European restuarant,2.342,48.821
1020,European restuarant,2.285,48.879
1021,European restuarant,2.286,48.882
1022,Asian restaurant,2.287,48.882
1023,European restuarant,2.286,48.881
1024,Indian / Middle Eastern restaurant,2.348,48.896
1025,Caribbean restaurant,2.35,48.893
1026,Asian restaurant,2.351,48.891
1027,African restaurant,2.349,48.892
1028,African restaurant,2.35,48.891
1029,European restuarant,2.371,48.868
1030,Asian restaurant,2.371,48.87
1031,Traditional French restaurant,2.372,48.866
1032,Asian restaurant,2.373,48.867
1033,European restuarant,2.372,48.866
1034,Asian restaurant,2.323,48.871
1035,African restaurant,2.339,48.895
1036,European restuarant,2.325,48.856
